#{"t_start": 1741014955.184534, "env_id": "Pong-v4"}
r,l,t
-19.0,1510,24.528162
-21.0,1133,81.644663
-21.0,1143,87.535723
-19.0,1410,132.115274
-20.0,1217,175.02349
-21.0,1130,180.509789
-21.0,1047,222.440922
-21.0,1258,228.588799
-20.0,1206,271.911848
-21.0,1124,277.74386
-20.0,1229,319.52059
